env_steps,vector_steps,replay_size,critic_updates,actor_updates,environment_steps_per_second,critic1_loss,critic2_loss,actor_loss,q1_mean,q2_mean,target_q_mean,q1_q2_abs_gap,td_error_abs_mean,sampled_log_prob_mean,deterministic_action_abs_mean,stochastic_action_abs_mean,action_saturation_fraction,actor_grad_norm,critic1_grad_norm,critic2_grad_norm,alpha,actor_updated,target_updated,completed_episodes,red_complete_elimination_success_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
2048,256,2048.0,129,64,106.47812876675896,0.006684188265353441,0.0073933652602136135,0.0,0.17169994115829468,0.19005943834781647,0.2024727612733841,0.024900691583752632,0.06267230212688446,0.0,0.0,0.0,0.0,0.0,0.12527905404567719,0.08437935262918472,0.1,False,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4096,512,4096.0,385,192,155.7618645662869,4.074709415435791,5.027657985687256,0.0,0.07337448000907898,-0.0007334463880397379,0.047649942338466644,0.22510027885437012,0.38571897149086,0.0,0.0,0.0,0.0,0.0,6.696763038635254,8.674038887023926,0.1,False,False,7,0.0,0.0,0.7142857142857143,0.0,2.142857142857143,2.2857142857142856,0.0,0.0,463.7142857142857,-103.9953207933847
6144,768,6144.0,641,320,172.11076965233812,4.843544960021973,6.0742363929748535,0.0,0.15636202692985535,0.13076350092887878,0.062271278351545334,0.13140590488910675,0.25834429264068604,0.0,0.0,0.0,0.0,0.0,25.419038772583008,1.913874626159668,0.1,False,False,1,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,553.0,-101.95367386518046
8192,1024,8192.0,897,448,182.12876478487672,3.643024206161499,3.606745958328247,0.0,0.19425736367702484,0.176177516579628,0.1559106707572937,0.10272225737571716,0.18177340924739838,0.0,0.0,0.0,0.0,0.0,1.1027874946594238,1.1970014572143555,0.1,False,False,2,0.0,0.0,0.5,0.0,3.0,2.5,0.0,0.0,507.0,-105.58242747337681
10240,1280,10240.0,1153,576,144.48104204422896,1.3426622152328491,3.4435648918151855,0.0,0.0933367908000946,0.09599363803863525,0.05346408113837242,0.23386643826961517,0.2696745991706848,0.0,0.0,0.0,0.0,0.0,8.532631874084473,3.01021409034729,0.1,False,False,7,0.0,0.0,0.8571428571428571,1.5714285714285714,2.5714285714285716,0.42857142857142855,0.14285714285714285,0.8571428571428571,532.2857142857143,-40.91412095825451
12288,1536,12288.0,1409,704,155.01404871855092,3.6701202392578125,3.509140968322754,0.0,0.11390392482280731,0.14598168432712555,0.11502479016780853,0.22628191113471985,0.2728770971298218,0.0,0.0,0.0,0.0,0.0,0.5792698264122009,4.460941314697266,0.1,False,False,4,0.0,0.0,2.5,0.0,2.5,0.5,0.0,0.0,237.75,-85.31930522028597
14336,1792,14336.0,1665,832,164.58954670964195,0.055479153990745544,0.14073017239570618,0.0,0.08341020345687866,0.060658328235149384,0.1689947098493576,0.19480472803115845,0.23801752924919128,0.0,0.0,0.0,0.0,0.0,3.332034111022949,6.513855934143066,0.1,False,False,8,0.0,0.0,0.875,1.0,2.625,0.75,0.375,0.625,482.25,-60.52204426784715
16384,2048,16384.0,1921,960,171.9628120476509,5.48621940612793,5.362001895904541,0.0,0.17458762228488922,0.2670133709907532,-0.000934022304136306,0.28399649262428284,0.3783911466598511,0.0,0.0,0.0,0.0,0.0,9.194435119628906,17.248699188232422,0.1,False,False,1,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,313.0,-89.93435227844748
18432,2304,18432.0,2177,1088,179.39700969007515,0.1156623438000679,0.4341058135032654,0.0,0.08390611410140991,0.11860543489456177,0.17680326104164124,0.3240877091884613,0.3077482581138611,0.0,0.0,0.0,0.0,0.0,3.808706521987915,8.332704544067383,0.1,False,False,3,0.0,0.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,1.0,600.0,-41.9284424786747
20000,2500,20000.0,2373,1186,162.3615491743787,0.1476512849330902,0.17792268097400665,0.0,0.1748807281255722,0.17190176248550415,0.19133508205413818,0.2839386761188507,0.2479252815246582,0.0,0.0,0.0,0.0,0.0,16.99137306213379,3.241304397583008,0.1,False,False,5,0.0,0.0,1.2,1.4,2.2,0.4,0.0,0.8,593.4,-44.447205645266514
