update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,current_learning_rate,current_entropy_coef,effective_log_std_mean,effective_std_mean,actor_epochs_completed,actor_minibatches_completed,kl_early_stop,max_minibatch_kl,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
14,28672,-0.003112107701599598,77.97990493774414,2.778927779197693,0.0037989115183291104,0.03882997889692585,0.28367133686939877,-2.783482074737549,7.936361312866211,0.7234700520833334,0.00029845171199999995,0.0099483904,-0.49154484272003174,0.6117064952850342,5,30,False,0.006629331037402153,441.8998520510618,39.38998232973972,8.853004183401936,2.1372529360087356,12.775177803996485,-87.94476094712081,nan,nan,8,0.0,0.625,0.0,1.0,0.0,0.0,2.25,0.0,2.25,0.75,0.0,0.0,226.0,-87.94476094712081
15,30720,-0.0033778997603803873,94.85967407226562,2.784923028945923,0.004426159747340916,0.05156560490528742,0.3351571043332418,-3.3160295486450195,8.563526153564453,0.7682291666666666,0.00029834112,0.009944704,-0.4899941384792328,0.6126431822776794,5,30,False,0.00811273604631424,448.3285050307184,42.163825165655,9.472120101403561,2.2590263220190536,12.775177803996485,-86.38488030588924,nan,nan,10,0.0,0.7,0.0,1.0,0.0,0.0,2.4,0.0,2.8,0.6,0.0,0.0,225.3,-86.38488030588924
16,32768,-0.0035751419985899703,87.27500686645507,2.789586059252421,0.004693004393481454,0.049022011874088396,0.2716074014703433,-2.7469980716705322,8.522984504699707,0.7503255208333334,0.000298230528,0.009941017600000001,-0.48786836862564087,0.6139487028121948,5,30,False,0.007177766412496567,454.3689973525046,44.98148899368243,9.982473151438171,2.4076457930204924,12.775177803996485,-87.08110798165782,nan,nan,9,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.5555555555555554,0.6666666666666666,0.0,0.0,236.33333333333334,-87.08110798165782
17,34816,-0.004295114039753874,94.35986022949218,2.7947694698969525,0.004588015626662907,0.05166430824125807,0.2773198992013931,-3.4271271228790283,8.842947959899902,0.76953125,0.00029811993599999996,0.0099373312,-0.4870714545249939,0.614435076713562,5,30,False,0.009245212189853191,459.6626646365844,47.83078796659538,10.515696522488724,2.5261128100246424,12.775177803996485,-85.97010216067832,nan,nan,9,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.4444444444444446,0.0,2.7777777777777777,0.5555555555555556,0.0,0.0,232.66666666666666,-85.97010216067832
18,36864,-0.004573947253326575,79.3623649597168,2.795813544591268,0.004498451349216451,0.050568171369377524,0.27020612408717476,-2.409555196762085,7.996060371398926,0.7721354166666666,0.000298009344,0.0099336448,-0.48722565174102783,0.6143351793289185,5,30,False,0.009186605922877789,464.0519376684951,50.61220624165435,11.151917984490865,2.682268650023616,12.775177803996485,-89.00882287934812,nan,nan,7,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,2.142857142857143,0.0,2.7142857142857144,0.8571428571428571,0.0,0.0,265.2857142857143,-89.00882287934812
19,38912,-0.004187713002465898,85.9973747253418,2.794490869839986,0.004150292944097086,0.044845158191553006,0.27294727315505346,-2.502922773361206,8.134157180786133,0.8219401041666666,0.000297898752,0.009929958400000001,-0.4875214993953705,0.6141568422317505,5,30,False,0.007197368424385786,468.0456435394176,53.44670789455995,11.77057192538632,2.798970707022818,12.775177803996485,-84.85154075930768,nan,nan,9,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,2.5555555555555554,0.0,2.3333333333333335,0.4444444444444444,0.0,0.0,222.22222222222223,-84.85154075930768
20,40960,-0.0030613837395018586,81.6345817565918,2.7961207469304403,0.0038202453721934778,0.04137322859217723,0.27346300731102624,-3.2064449787139893,8.423517227172852,0.73193359375,0.00029778815999999996,0.009926272,-0.4861224591732025,0.6150309443473816,5,30,False,0.008270896039903164,475.46099186680294,55.780253039556555,12.224459198390832,2.9157843060093,12.775177803996485,-82.45614211704621,nan,nan,9,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,2.7777777777777777,0.0,2.7777777777777777,0.2222222222222222,0.0,0.0,206.66666666666666,-82.45614211704621
21,43008,-0.004228831109746049,82.589599609375,2.8018690665562946,0.0052105635542189456,0.06225224029428015,0.3108883241812388,-2.5858306884765625,8.254341125488281,0.7740885416666666,0.000297677568,0.0099225856,-0.48345518112182617,0.6166670322418213,5,30,False,0.01115387212485075,481.7470605864717,58.1954605756182,12.713379349501338,3.0313166590058245,12.775177803996485,-85.41473460313846,nan,nan,10,0.0,0.7,0.0,1.0,0.0,0.0,2.5,0.0,2.2,0.5,0.0,0.0,233.5,-85.41473460313846
22,45056,-0.0046605311799794436,84.54489135742188,2.811071594556173,0.004394014410457366,0.046645578710983196,0.2978940015037855,-2.0040969848632812,8.022834777832031,0.8103841145833334,0.000297566976,0.009918899200000001,-0.480160653591156,0.618705689907074,5,30,False,0.008352549746632576,485.3053356755261,60.98335718252929,13.244013181596529,3.1624675860075513,12.775177803996485,-89.29698764628904,nan,nan,8,0.0,0.5,0.0,1.0,0.0,0.0,2.125,0.0,3.0,0.875,0.0,0.0,240.25,-89.29698764628904
23,47104,-0.003847977250795035,110.47952804565429,2.8219780206680296,0.005177323905345369,0.063679624577829,0.31797565470139183,-3.77736234664917,9.744154930114746,0.7542317708333334,0.00029745638399999996,0.0099152128,-0.4762539863586426,0.6211361885070801,5,30,False,0.009735127910971642,489.50923747383706,63.612067344627576,13.763461936672684,3.2784358620119747,12.775177803996485,-85.22098101735416,nan,nan,12,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.5,0.0,2.6666666666666665,0.5,0.0,0.0,192.25,-85.22098101735416
24,49152,-0.002167401377422114,115.34321594238281,2.8331194718678794,0.005488541453795319,0.0663858702367482,0.31818384726842247,-2.5997579097747803,10.280289649963379,0.83837890625,0.000297345792,0.0099115264,-0.47282224893569946,0.6232746243476868,5,30,False,0.010736293159425259,492.0387757298182,66.569805461535,14.228747374683735,3.4030513150064507,12.775177803996485,-90.56663234831035,nan,nan,9,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,2.0,0.0,2.7777777777777777,1.0,0.0,0.0,225.33333333333334,-90.56663234831035
25,51200,-0.002488150354474783,79.97882537841797,2.8411893049875894,0.003164536353500992,0.025482501869555564,0.2795712967713674,-2.3399925231933594,7.932819843292236,0.8225911458333334,0.0002972352,0.00990784,-0.471432626247406,0.6241475939750671,5,30,False,0.0051462301053106785,493.95108378311824,69.51029343344271,14.804935065680183,3.525362574015162,12.775177803996485,-89.2683808663769,nan,nan,8,0.0,0.5,0.0,1.0,0.0,0.0,2.125,0.0,2.5,0.875,0.0,0.0,247.875,-89.2683808663769
26,53248,-0.002360378737406184,94.21996536254883,2.843973755836487,0.003551405942075517,0.03186438229555885,0.2801942432920138,-2.3864433765411377,8.68213939666748,0.8486328125,0.00029712460799999997,0.0099041536,-0.47026199102401733,0.6248749494552612,5,30,False,0.00642260629683733,496.5778976171045,72.25363839839702,15.376189838789287,3.66357913101092,12.775177803996485,-91.7455340187761,nan,nan,9,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.8888888888888888,0.0,2.3333333333333335,1.1111111111111112,0.0,0.0,250.11111111111111,-91.7455340187761
27,55296,-0.0038247624645009635,80.60496597290039,2.8476065238316854,0.003921044362877838,0.03919279087955753,0.2870545153816541,-3.2107696533203125,8.324625015258789,0.7122395833333334,0.00029701401599999995,0.0099004672,-0.46903738379478455,0.6256349086761475,5,30,False,0.006632875185459852,498.0278239574883,75.2012052583159,15.951023654677556,3.811179465003079,12.775177803996485,-87.1568854026118,nan,nan,9,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.5555555555555554,0.6666666666666666,0.0,0.0,223.11111111111111,-87.1568854026118
28,57344,-0.0040410312793634755,51.98842010498047,2.851551095644633,0.00421267068345235,0.04823183868623649,0.27919320613145826,-1.4424289464950562,6.860452651977539,0.7210286458333334,0.000296903424,0.0098967808,-0.4677484631538391,0.626447319984436,5,30,False,0.00785254780203104,500.6457299753556,77.85905694247049,16.542990668895072,3.953967373003252,12.775177803996485,-86.15186140717717,nan,nan,7,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,2.4285714285714284,0.0,2.7142857142857144,0.5714285714285714,0.0,0.0,228.14285714285714,-86.15186140717717
29,59392,-0.0038330646503406266,68.09272689819336,2.856012717882792,0.003831833451834769,0.03593405221278469,0.27160403529802957,-1.712648868560791,7.401092052459717,0.7796223958333334,0.00029679283199999997,0.0098930944,-0.46593427658081055,0.627570629119873,5,30,False,0.006664608605206013,502.9839572340343,80.56067433438147,17.10867058300937,4.105449099006364,12.775177803996485,-88.25433355860302,nan,nan,9,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,2.2222222222222223,0.0,2.5555555555555554,0.7777777777777778,0.0,0.0,235.66666666666666,-88.25433355860302
30,61440,-0.0032921415210391083,80.44330291748047,2.8626672903696697,0.003378394021940941,0.032117266530015814,0.2740751976768176,-3.344651460647583,7.8712077140808105,0.7443033854166666,0.00029668223999999995,0.009889408,-0.4632810056209564,0.629234790802002,5,30,False,0.007093970663845539,504.9419533307642,83.14741121233965,17.845824642048683,4.252781841016258,12.775177803996485,-89.4848949016143,nan,nan,9,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,2.111111111111111,0.0,2.111111111111111,0.8888888888888888,0.0,0.0,246.22222222222223,-89.4848949016143
31,63488,-0.0023958228761330248,61.87301750183106,2.868052085240682,0.0028569925799319757,0.02581810615956783,0.30392178843418755,-1.7220033407211304,7.563847541809082,0.708984375,0.000296571648,0.0098857216,-0.4631224572658539,0.6293329000473022,5,30,False,0.0056866551749408245,505.923521565011,86.01575189533469,18.53941021297942,4.378532612026902,12.775177803996485,-85.4043935437802,nan,nan,8,0.0,0.625,0.0,1.0,0.0,0.0,2.5,0.0,3.0,0.5,0.0,0.0,211.0,-85.4043935437802
32,65536,-0.0018230690368606398,58.21246070861817,2.868866268793742,0.0028507080069770005,0.022702428228997935,0.2657592023412387,-0.9593857526779175,7.005086421966553,0.79736328125,0.00029646105599999997,0.0098820352,-0.46186816692352295,0.6301161050796509,5,30,False,0.005651012063026428,506.96256271713753,88.99504703532148,19.09880343414261,4.503624720018706,12.775177803996485,-87.2332595672536,nan,nan,9,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.7777777777777777,0.6666666666666666,0.0,0.0,232.33333333333334,-87.2332595672536
33,67584,-0.004334690896212123,76.65075378417968,2.874142034848531,0.004169831783742904,0.04738252610356237,0.28994120508432386,-1.8682914972305298,8.144701957702637,0.7843424479166666,0.00029635046399999996,0.0098783488,-0.45988303422927856,0.6313716173171997,5,30,False,0.008554166182875633,508.5363302147589,91.82288683933439,19.661087523083552,4.628028116028872,12.775177803996485,-95.8275460501959,nan,nan,8,0.0,0.25,0.0,1.0,0.0,0.0,1.5,0.0,2.25,1.5,0.0,0.0,269.125,-95.8275460501959
34,69632,-0.0025095377039785188,74.90242767333984,2.8806207100550334,0.003362232741472493,0.029785245094293106,0.28691412905852,-1.9271928071975708,8.121365547180176,0.775390625,0.000296239872,0.0098746624,-0.45765015482902527,0.6327942609786987,5,30,False,0.005473916418850422,509.5598084194381,94.73812856928271,20.250187024095794,4.748483303032117,12.775177803996485,-92.84546340498976,nan,nan,9,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,1.7777777777777777,0.0,2.7777777777777777,1.2222222222222223,0.0,0.0,242.22222222222223,-92.84546340498976
35,71680,-0.0038033532832438747,57.729481887817386,2.887748289108276,0.004379964732597423,0.04721606021048501,0.28184718638658524,-0.9128041863441467,7.051670074462891,0.8308919270833334,0.00029612928,0.009870976,-0.4548203945159912,0.6346027255058289,5,30,False,0.007889383472502232,511.15535620261846,97.4634575322707,20.860016661317786,4.877775264030788,12.775177803996485,-93.94154981166373,nan,nan,6,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,1.3333333333333333,0.0,0.0,257.5,-93.94154981166373
36,73728,-0.003347474835269774,80.44915618896485,2.893388930956523,0.0032195810117839657,0.027625310766355445,0.2766175150871277,-1.1917493343353271,7.968574047088623,0.8050130208333334,0.00029601868799999996,0.0098672896,-0.4548714756965637,0.6345970034599304,5,30,False,0.005824820604175329,511.9854030437558,100.42049553230754,21.423441394232213,5.0154256200330565,12.775177803996485,-93.08175781545124,nan,nan,10,0.0,0.2,0.0,1.0,0.0,0.0,1.7,0.0,2.7,1.2,0.1,0.0,241.3,-93.08175781545124
37,75776,-0.002926054208849867,59.040235137939455,2.8952452262242634,0.0031254528554943892,0.02991191896920403,0.2766850476463636,-1.1092973947525024,7.041942119598389,0.7698567708333334,0.000295908096,0.0098636032,-0.4521486461162567,0.6363429427146912,5,30,False,0.006218544207513332,512.540390814042,103.43361327030289,22.008161891324562,5.137668166033109,12.775177803996485,-93.49165748134497,nan,nan,7,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.7142857142857142,0.0,3.0,1.2857142857142858,0.0,0.0,278.42857142857144,-93.49165748134497
38,77824,-0.0017006105714244767,77.70891876220703,2.9046138763427733,0.002482927857932733,0.01965084410039708,0.28200589468081794,-1.3316996097564697,8.114684104919434,0.8308919270833334,0.000295797504,0.0098599168,-0.44968724250793457,0.6378837823867798,5,30,False,0.005357073154300451,512.2589608435795,106.55849538516486,22.710561410407536,5.26214429702668,12.775177803996485,-95.75741467739181,nan,nan,8,0.0,0.125,0.0,1.0,0.0,0.0,1.5,0.0,2.75,1.5,0.0,0.0,269.375,-95.75741467739181
39,79872,-0.003277234082876627,49.9891860961914,2.909077843030294,0.0034702188687695634,0.03160899463885774,0.2616280128558477,-0.8042090535163879,6.5870795249938965,0.7604166666666666,0.00029568691199999996,0.0098562304,-0.44860371947288513,0.6385706663131714,5,30,False,0.006302926689386368,513.8835339107361,109.27863770308613,23.262294108470087,5.384310188033851,12.775177803996485,-89.11140271378827,nan,nan,7,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,2.142857142857143,0.0,3.0,0.8571428571428571,0.0,0.0,248.85714285714286,-89.11140271378827
40,81920,-0.0033204119516691815,67.71560783386231,2.910996683438619,0.0034136507916797563,0.030678208793203036,0.29029057125250496,-0.3793386220932007,7.366087913513184,0.8243815104166666,0.00029557632,0.009852544,-0.4491209387779236,0.6382511854171753,5,30,False,0.00611735787242651,515.3854580278783,112.01194295706227,23.817293750398676,5.501921667033457,12.775177803996485,-93.71589699959145,nan,nan,8,0.0,0.25,0.0,1.0,0.0,0.0,1.625,0.0,2.375,1.25,0.125,0.0,267.125,-93.71589699959145
41,83968,-0.0039139518334801926,72.13258438110351,2.907891273498535,0.004097733433135053,0.043385850083238135,0.30795540710290276,-1.964714765548706,8.100266456604004,0.7296549479166666,0.000295465728,0.0098488576,-0.44989094138145447,0.6377704739570618,5,30,False,0.006806574296206236,517.169317284392,114.66587445103505,24.340330629464006,5.6199106920394115,12.775177803996485,-94.57608263987532,nan,nan,9,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.5555555555555556,0.0,2.4444444444444446,1.3333333333333333,0.1111111111111111,0.0,265.77777777777777,-94.57608263987532
42,86016,-0.003201577455426256,71.05422744750976,2.9101979970932006,0.00508617522713841,0.05548964080323155,0.27333317200342816,-0.782284677028656,8.02290153503418,0.7716471354166666,0.00029535513599999997,0.0098451712,-0.44722509384155273,0.639464795589447,5,30,False,0.008134525269269943,518.5736246218415,117.50569748706766,24.793926024489338,5.734304707046249,12.775177803996485,-96.30142986959721,nan,nan,7,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.4285714285714286,0.0,2.7142857142857144,1.5714285714285714,0.0,0.0,255.0,-96.30142986959721
43,88064,-0.003729447435277204,69.4785987854004,2.9202504396438598,0.0032755706220229303,0.030621997786996265,0.26448653986056647,-0.618442177772522,7.6944756507873535,0.8509114583333334,0.00029524454399999995,0.0098414848,-0.4432665705680847,0.642002284526825,5,30,False,0.00556136341765523,519.4190168338121,120.44535849989916,25.29035756661324,5.853338606044417,12.775177803996485,-91.0923910212718,nan,nan,9,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,1.8888888888888888,0.0,2.6666666666666665,1.0,0.1111111111111111,0.0,259.8888888888889,-91.0923910212718
44,90112,-0.002423953761657079,63.98236999511719,2.9339040756225585,0.0027220277832377166,0.023802418432508906,0.2736984019478162,-0.6677578687667847,7.561587810516357,0.8927408854166666,0.000295133952,0.0098377984,-0.4383823871612549,0.6451383829116821,5,30,False,0.006758144125342369,520.0989683903996,123.40261019903119,25.820860833497136,5.971193675039103,12.775177803996485,-95.8315767597469,nan,nan,6,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,1.5,0.0,2.6666666666666665,1.5,0.0,0.0,278.6666666666667,-95.8315767597469
45,92160,-0.003083674524289866,61.1164249420166,2.9458491007486978,0.003662305497230281,0.03630157462321222,0.296618282298247,-0.710785984992981,7.135055065155029,0.7908528645833334,0.00029502335999999997,0.009834112,-0.4357284903526306,0.6468644142150879,5,30,False,0.006574781145900488,521.4242986379144,126.20346116610745,26.280229466341552,6.089477759029251,12.775177803996485,-99.58062506144347,nan,nan,8,0.0,0.125,0.0,1.0,0.0,0.0,1.125,0.0,2.5,1.875,0.0,0.0,280.875,-99.58062506144347
46,94208,-0.0036346499109640718,72.9508560180664,2.953613026936849,0.0035106481558017564,0.03527758440080409,0.2525861223538717,-0.7116789817810059,8.183220863342285,0.8719075520833334,0.00029491276799999995,0.0098304256,-0.4327014088630676,0.6488276720046997,5,30,False,0.007852155715227127,522.4119699022101,129.05148174407077,26.788950363348704,6.204638153023552,12.775177803996485,-93.22143284674121,nan,nan,8,0.0,0.5,0.0,1.0,0.0,0.0,1.75,0.0,2.5,1.25,0.0,0.0,263.75,-93.22143284674121
47,96256,-0.003033514846659576,75.08237838745117,2.9634596665700275,0.00299014955909965,0.026031999095963935,0.2555494512120883,-1.2308268547058105,8.369184494018555,0.8108723958333334,0.000294802176,0.0098267392,-0.4294506311416626,0.6509236097335815,5,30,False,0.0056389677338302135,523.5896664662517,131.8247892340587,27.30157257025712,6.317975424026372,12.775177803996485,-105.91246003393947,nan,nan,6,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,2.6666666666666665,2.5,0.0,0.0,289.8333333333333,-105.91246003393947
48,98304,-0.002770919279040148,50.27018737792969,2.972111376126607,0.002745222737105624,0.02412553324053685,0.2573211049040159,-0.34938716888427734,6.580297946929932,0.869140625,0.00029469158399999997,0.0098230528,-0.42743465304374695,0.6522387266159058,5,30,False,0.004420331213623285,523.6824899982718,134.91092721202585,27.840801450249273,6.448705120026716,12.775177803996485,-93.84179582938044,nan,nan,7,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.7142857142857142,0.0,2.4285714285714284,1.2857142857142858,0.0,0.0,310.2857142857143,-93.84179582938044
49,100352,-0.001531766874055999,71.22099838256835,2.978271230061849,0.002559347020295229,0.01932322230034818,0.26961104621489845,-0.6599675416946411,7.9412736892700195,0.8929036458333334,0.00029458099199999995,0.0098193664,-0.4247227907180786,0.654015302658081,5,30,False,0.006227380596101284,522.8474934177938,138.27073843391554,28.436888294221717,6.574848604024737,12.775177803996485,-100.77966812339582,nan,nan,60,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,2.0833333333333335,0.016666666666666666,2.8666666666666667,0.9,nan,0.016666666666666666,232.78333333333333,nan
50,102400,-0.004554616551225384,68.37717971801757,2.9869427760442098,0.00466079664311055,0.05418090443126857,0.278545214732488,-0.8960689902305603,7.947695255279541,0.8406575520833334,0.0002944704,0.00981568,-0.421786904335022,0.6559336185455322,5,30,False,0.010086768306791782,467.4104077659099,141.07675287297752,29.080142327191425,6.703104459025781,36.188779966993025,-99.39467173122453,nan,nan,7,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.1428571428571428,0.0,2.7142857142857144,1.8571428571428572,0.0,0.0,281.7142857142857,-99.39467173122453
