update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
1,2048,-0.0024119425176953274,5.781843614578247,2.7574462890625,0.004476374084561061,0.04913855704168479,0.26814491202433904,-0.8206906914710999,2.134413003921509,0.9435221354166666,130.6637151436196,2.9842771999974502,0.6134672559783212,0.4108253629965475,11.58030086200597,2,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,249.0,-30.0
2,4096,-0.0037281078034235786,16.759204387664795,2.7535179615020753,0.004326317345561611,0.045540267244602244,0.2965734894076983,-1.852669596672058,3.52502179145813,0.8390299479166666,209.82558351749273,6.06218488097511,1.0958331499568885,0.5853464640022139,11.58030086200597,10,0.0,0.5,0.0,1.0,0.0,0.0,2.1,0.0,2.4,0.9,0.0,0.0,255.6,-30.291750015411527
3,6144,-0.0036960393656045197,10.872803592681885,2.7475332816441855,0.003491272165245544,0.03242314058976869,0.26941641767819724,-1.2533478736877441,2.9450843334198,0.8684895833333334,267.92275296659386,8.799650539047434,1.5461132399941562,0.704976027001976,11.58030086200597,8,0.0,0.375,0.0,1.0,0.0,0.0,2.0,0.0,2.25,1.0,0.0,0.0,268.875,-30.52083332510665
4,8192,-0.004075962087760369,11.897861766815186,2.749851640065511,0.00341746679755258,0.03406536922169228,0.2609603320558866,-1.2934859991073608,3.0743072032928467,0.8779296875,307.6836609423894,11.780034795054235,2.014137743914034,0.8432197169968276,11.58030086200597,8,0.0,0.5,0.0,1.0,0.0,0.0,1.875,0.0,2.0,1.125,0.0,0.0,276.75,-30.189062456949614
5,10240,-0.0024298055679537354,12.325533008575439,2.7530346075693766,0.00322868821974468,0.025678454758599402,0.28842473179101946,-1.7743045091629028,3.1486425399780273,0.8136393229166666,335.73659606257723,14.959595357046055,2.458787085903168,0.9824243510011001,11.58030086200597,10,0.0,0.9,0.0,1.0,0.0,0.0,2.9,0.0,3.0,0.1,0.0,0.0,236.9,-30.016250000242145
6,12288,-0.0025410251885962984,8.533687210083007,2.7580100933710736,0.0035587544640734805,0.03255496624236306,0.2678570955991745,-0.8600571155548096,2.9274237155914307,0.8655598958333334,356.855130786834,18.144215100030124,2.9466117939300602,1.1456708270052331,11.58030086200597,6,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,3.0,0.0,0.3333333333333333,0.0,223.5,-30.0
7,14336,-0.003959371279537057,6.948370790481567,2.7624013980229694,0.00462742383797203,0.04941944281260172,0.28154949098825455,-0.7369192838668823,2.4903626441955566,0.8863932291666666,369.3757614514579,21.64509843403357,3.5194644618895836,1.3276198210005532,11.58030086200597,8,0.0,0.75,0.0,1.0,0.0,0.0,2.75,0.0,2.75,0.25,0.0,0.0,267.125,-30.11354166874662
8,16384,-0.003305583113494019,9.842417192459106,2.7739552815755206,0.0037396572236473007,0.03501495831490805,0.2606892675161362,-0.9759358167648315,3.060084342956543,0.89453125,383.28762963665855,24.807553518083296,4.0314877128912485,1.4674795680039097,11.58030086200597,8,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,258.5,-30.0
9,18432,-0.0024773304040233294,5.893242216110229,2.785798438390096,0.003526534242989442,0.031306149313847224,0.2724282125631968,-0.5853458642959595,2.4138107299804688,0.8092447916666666,399.57580837942913,27.42692259204341,4.541598822870583,1.6203155080074794,11.58030086200597,7,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,2.142857142857143,0.0,2.142857142857143,0.8571428571428571,0.0,0.0,295.7142857142857,-30.287857149328506
10,20480,-0.003089783136965707,7.372217226028442,2.799251675605774,0.004414558925113794,0.04743759377549092,0.29607067654530206,-0.6788456439971924,2.8331809043884277,0.8006184895833334,411.8674822050558,30.246189286037406,5.069349171862996,1.7596157140069408,11.58030086200597,7,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,2.4285714285714284,0.0,2.142857142857143,0.5714285714285714,0.0,0.0,286.14285714285717,-30.692857153181517
