env_steps,vector_steps,replay_size,critic_updates,actor_updates,environment_steps_per_second,update_calls_in_interval,critic_updates_in_interval,actor_updates_in_interval,target_updates_in_interval,critic1_loss_mean,critic2_loss_mean,q1_mean,q2_mean,target_q_mean,q1_q2_abs_gap_mean,td_error_abs_mean,critic1_grad_norm_pre_clip_mean,critic2_grad_norm_pre_clip_mean,critic1_grad_clipped_fraction,critic2_grad_clipped_fraction,critic1_loss_max,critic2_loss_max,q1_q2_abs_gap_max,td_error_abs_max,critic1_grad_norm_pre_clip_max,critic2_grad_norm_pre_clip_max,actor_loss_mean,sampled_log_prob_mean,deterministic_action_abs_mean,stochastic_action_abs_mean,action_saturation_fraction_mean,actor_grad_norm_pre_clip_mean,actor_grad_clipped_fraction,actor_loss_last,action_saturation_fraction_max,actor_grad_norm_pre_clip_max,completed_episodes,red_complete_elimination_success_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
30720,3840,30720,1341,670,160.79392014401708,256,256,128,128,3.0973847205750644,3.1537781442748383,0.029459622689046228,0.019191388052149705,0.0032246869354821683,0.14491251192521304,0.28380057762842625,68.92598680406809,75.95037281513214,1.0,1.0,9.907637596130371,10.142746925354004,40.41940689086914,50.360076904296875,373.02386474609375,487.0541687011719,-0.274749712087214,-1.6893128072842956,0.2682516697763827,0.5478150124219555,0.01770188186476349,0.21332385984715074,0.0,-0.25341829657554626,0.023559870550161812,0.8577551245689392,6,0.0,0.0,0.8333333333333334,0.16666666666666666,1.6666666666666667,2.0,0.0,0.16666666666666666,417.6666666666667,-94.71939595467363
32768,4096,32768,1597,798,161.7128624711058,256,256,128,128,2.5410067267366685,2.597852047882043,-0.023053645442587367,-0.02443032470887374,-0.04162752810407255,0.15518014642293565,0.31079484190559015,72.07856256887317,70.11744837462902,0.99609375,1.0,7.803238391876221,7.25462532043457,35.13605880737305,50.61458969116211,346.1419982910156,247.03099060058594,-0.21846422605449334,-1.694607935845852,0.27344207933814074,0.5460237578581427,0.017096150602793535,0.18723848491208628,0.0,-0.13537268340587616,0.022455867082035307,0.44532376527786255,2,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,416.0,-110.46170638279727
34816,4352,34816,1853,926,162.8491763646395,256,256,128,128,2.2979457693290897,2.170090868254192,-0.09235845236224804,-0.09815856641353093,-0.10925976836097107,0.19191441181465052,0.35873065749183297,71.46249034442008,68.50308501720428,0.99609375,1.0,6.625897407531738,6.870645999908447,46.97857666015625,50.512271881103516,234.407958984375,227.70741271972656,-0.1303833389247302,-1.6105698309838772,0.30703707872549674,0.5488972805351827,0.017550634115612036,0.20855760341510177,0.0,-0.016349099576473236,0.02491103202846975,0.5067590475082397,3,0.0,0.0,1.6666666666666667,1.3333333333333333,3.0,0.0,0.0,1.0,600.0,-39.3326099596452
36864,4608,36864,2109,1054,163.70094496349768,256,256,128,128,2.1106425636680797,2.081756306288298,-0.16577419367695256,-0.15624643906363644,-0.1704016796866199,0.2182504098454956,0.4135803368408233,65.79783478192985,70.8306638840586,0.984375,0.99609375,8.23987865447998,8.226469039916992,46.17214584350586,50.77449417114258,245.3776092529297,250.47576904296875,-0.05701466506434372,-1.6107043102383614,0.30062520701381035,0.5448884541538531,0.01670343363236767,0.20011822693049908,0.0,-0.054760225117206573,0.021724905117131266,0.6197397112846375,5,0.0,0.0,2.0,0.6,3.0,0.4,0.0,0.6,567.8,-63.72073285007991
38912,4864,38912,2365,1182,164.8461736787976,256,256,128,128,2.273315611644648,2.1068655877606943,-0.22831958610549918,-0.22069577798811224,-0.21545436323503964,0.21716660406673327,0.42064899986144155,72.35770326526836,73.47399239987135,0.98828125,0.99609375,6.122808933258057,6.197864532470703,51.73611068725586,51.1736946105957,301.6087341308594,252.8936004638672,-0.007599736163683701,-1.5782765839248896,0.29702739691290925,0.5416044602315346,0.016125620813394744,0.18458257193560712,0.0,-0.10244859755039215,0.020394907768251494,0.5755552649497986,4,0.0,0.0,2.5,0.5,3.0,0.0,0.0,0.25,450.75,-66.18145260608047
40960,5120,40960,2621,1310,165.8912977617423,256,256,128,128,2.3433023307006806,2.1619016356999055,-0.24066282380226767,-0.23155765383080507,-0.22565070798736997,0.2063984283595346,0.3923865865217522,57.770471235737205,65.05938312411308,0.98828125,0.99609375,8.58713436126709,7.85329008102417,63.602256774902344,51.12212371826172,353.8966369628906,240.59922790527344,-0.011195610537470202,-1.5939199849963188,0.28236794339538585,0.5389087375175857,0.01582648175123357,0.17121880047488958,0.0,-0.006316333077847958,0.020233872027328865,0.5683273077011108,4,0.0,0.0,1.25,0.75,1.75,0.75,0.25,0.5,465.75,-66.72192189284175
43008,5376,43008,2877,1438,166.8894485497138,256,256,128,128,2.2744936167728156,2.078489401494153,-0.22658153631709865,-0.23101708412650623,-0.2135295066400431,0.231923348212149,0.3746283116051927,64.15454800799489,75.10218400135636,0.99609375,0.9921875,7.219360828399658,6.164061546325684,57.27774429321289,50.78441619873047,361.15716552734375,414.120849609375,-0.021594749041469186,-1.595544958487153,0.2695893408801252,0.5348687468023299,0.015667471388420645,0.18746913044014946,0.0,-0.13544711470603943,0.02071786751121668,0.6287223100662231,5,0.0,0.0,1.8,0.6,2.0,0.6,0.0,0.4,498.0,-68.5276015836962
45056,5632,45056,3133,1566,167.4525031856194,256,256,128,128,2.5007894607260823,2.148275373969227,-0.2006673431242234,-0.1873045577740413,-0.18719892473018263,0.22065199463395402,0.3527633249759674,79.52638464048505,65.90506101213396,0.9921875,0.9921875,9.05359935760498,8.595563888549805,55.52985382080078,50.47663879394531,437.9956359863281,213.09332275390625,-0.06478150221482792,-1.6121755465865135,0.26099127904513364,0.5290018589212134,0.013920794861710252,0.21283240529010072,0.0,-0.0970040038228035,0.018355945730247406,0.5494999289512634,4,0.0,0.0,1.5,0.75,2.5,0.75,0.0,0.5,521.0,-65.28416804749668
47104,5888,47104,3389,1694,168.52438818369865,256,256,128,128,2.376810153480619,2.24003007565625,-0.15417168748535914,-0.15529946260539873,-0.1542187926177121,0.20106586156180128,0.3405867230030708,62.92879020422697,72.97007694281638,0.99609375,0.9921875,6.385930061340332,6.225385665893555,49.35710525512695,50.48527526855469,284.0200500488281,385.8675842285156,-0.11685003250931913,-1.6033234344795346,0.2513428808220994,0.523244215836497,0.0121337527771384,0.18795570748625323,0.0,-0.01072569377720356,0.01596244131455399,0.5870772004127502,5,0.0,0.0,2.2,0.2,2.2,0.6,0.0,0.2,399.8,-79.89578500854059
49152,6144,49152,3645,1822,168.95947957813843,256,256,128,128,2.5693661184050143,2.3597864122129977,-0.13394189279142665,-0.1437732149151998,-0.13812217012400652,0.20372137648519129,0.3422385034500621,64.55662730894983,76.47476278245449,0.9921875,1.0,7.470312595367432,6.540063858032227,63.274295806884766,50.65244674682617,387.4635009765625,331.29168701171875,-0.12941877769026178,-1.617001349106431,0.24802031244066752,0.517742482648015,0.01034144489927648,0.20575350883882493,0.0,-0.14970426261425018,0.013804303694681283,0.8913524746894836,4,0.0,0.0,2.25,0.5,2.5,0.25,0.0,0.5,502.0,-65.30080078496314
