update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,current_learning_rate,current_entropy_coef,effective_log_std_mean,effective_std_mean,actor_epochs_completed,actor_minibatches_completed,kl_early_stop,max_minibatch_kl,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_boundary_altitude_deaths,mean_red_boundary_xy_deaths,mean_blue_boundary_altitude_deaths,mean_blue_boundary_xy_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return,mean_rollout_approach_reward,mean_rollout_attack_advantage_reward,mean_rollout_threat_penalty,mean_rollout_soft_boundary_penalty,mean_rollout_friendly_separation_penalty,mean_rollout_head_on_risk_penalty,mean_rollout_dense_reward,mean_rollout_event_reward,mean_rollout_terminal_reward,mean_rollout_total_step_reward,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward
1,2048,-0.0035500886617228387,71.41491050720215,2.7586347818374635,0.005256186577105812,0.060109864268451926,0.3258107749124368,-3.7795491218566895,7.848274230957031,0.7677408854166666,0.00026625,0.008875000000000001,-0.4985005855560303,0.6074415445327759,5,30,False,0.009081604890525341,41.860755048783865,4.430602737120353,0.6904624441231135,0.483592642005533,43.19008898299944,3,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,-79.65352384932339,0.004735775781789187,4.270708460515339e-05,0.0025509633587247186,2.0523297191051004e-08,3.333196274546424e-08,0.0,0.0012274656562567543,-0.185546875,-0.029296875,-0.21361628401905364,0.002227519507669621,5.385525993651524e-08,-0.21484375
2,4096,-0.0026059215500329933,96.58804321289062,2.7621548414230346,0.003454824157322009,0.034461736942951876,0.33035806169112525,-4.456680774688721,8.761321067810059,0.6787109375,0.00023249999999999999,0.00775,-0.4979744851589203,0.6077612042427063,5,30,False,0.007068529259413481,75.92468975584545,8.638302828083397,1.1911696170573123,0.6408124590088846,43.19008898299944,7,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,2.857142857142857,0.0,2.7142857142857144,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,274.42857142857144,-81.73233977232773,0.0035142669767083135,2.8302124766899084e-05,0.0030311583002458065,0.0002649752270042771,2.9095154468750106e-06,0.0,-0.0007564739285044197,-0.22216796875,-0.068359375,-0.29128382012072507,0.0005114108012294061,0.0002678847424511521,-0.29052734375
3,6144,-0.003055472757417495,98.3820297241211,2.762266683578491,0.00418987519890646,0.0428599555666248,0.35105589777231216,-4.395003795623779,9.268272399902344,0.62548828125,0.00019874999999999998,0.006625,-0.4985421299934387,0.6074177026748657,5,30,False,0.009868490509688854,104.39960049606314,12.7256908480922,1.7055407489679055,0.7916406550066313,43.19008898299944,8,0.0,0.875,0.0,1.0,0.0,0.0,2.875,0.0,2.625,0.0,0.0,0.0,0.0,0.0,0.125,0.0,292.625,-81.07832672384393,0.003263204863287683,2.0013059295064667e-05,0.0033771653043004335,0.0006028320457978631,0.0,0.0,-0.0016967794041988782,-0.205078125,-0.078125,-0.28489990369575935,-9.394738171768571e-05,0.0006028320457978631,-0.283203125
4,8192,-0.0023388451508556804,212.72118225097657,2.7622949918111166,0.0030605761785409413,0.024124763312283904,0.2793100317319234,-7.481222629547119,12.781103134155273,0.7737630208333334,0.000165,0.0055,-0.4975738227367401,0.6080124378204346,5,30,False,0.006359284743666649,127.2594945629397,17.44219875721319,2.2093390751397237,0.9312942719989223,43.19008898299944,14,0.0,0.9285714285714286,0.0,1.0,0.0,0.0,2.9285714285714284,0.0,3.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,205.21428571428572,-80.59502085199867,0.005017933228373295,3.581081513775314e-05,0.0025472711079146393,0.00020309250824415703,6.7881210965570205e-06,0.0,0.0012965923093588572,-0.3759765625,-0.13671875,-0.5113987213700284,0.0025064729355964085,0.00020988062934071405,-0.5126953125
5,10240,-0.0028277275205861466,206.13611907958983,2.76533100605011,0.003700508070060939,0.036544259459090726,0.28771108388900757,-6.935624122619629,12.839052200317383,0.8255208333333334,0.00013125000000000002,0.0043749999999999995,-0.4967452883720398,0.6085168123245239,5,30,False,0.009107614867389202,146.73749270523513,22.051422860327875,2.7195254422113067,1.0718167110026116,43.19008898299944,11,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.8181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0909090909091,-79.59628326207597,0.005240328570835118,1.9628532324844628e-05,0.0022814395720160974,9.915986715470365e-05,1.3313216329809141e-05,0.0,0.0018660444322904368,-0.33203125,-0.107421875,-0.4375870714575285,0.002978517531143865,0.00011247308348451279,-0.439453125
6,12288,-0.0025450333409632246,131.66417541503907,2.767681193351746,0.003121029805241626,0.02812810135850062,0.3090499311685562,-4.9963765144348145,9.64349365234375,0.7571614583333334,9.750000000000001e-05,0.0032499999999999994,-0.49606236815452576,0.6089303493499756,5,30,False,0.0076965405605733395,163.3089830040502,26.633557942172047,3.3090666241769213,1.2024552749935538,43.19008898299944,9,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,2.5555555555555554,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,221.22222222222223,-83.54185225394495,0.00441649898812102,1.9546292343797234e-05,0.0030245877710513014,0.0005348030859283481,2.8407551309384037e-06,0.0,-0.00012618636139904993,-0.2783203125,-0.087890625,-0.3663371258447796,0.0014114575094135162,0.0005376438410592865,-0.3662109375
7,14336,-0.0006849523400887847,154.87704162597657,2.769116973876953,0.0010886324804149047,0.0027735101253104706,0.26498805185159047,-5.774539947509766,10.759735107421875,0.76171875,6.375e-05,0.002125,-0.4957297742366791,0.6091330051422119,5,30,False,0.003349467646330595,177.96168795873848,31.11709059221903,3.8377856960432837,1.3424891079921508,43.19008898299944,10,0.0,0.9,0.0,1.0,0.0,0.0,2.9,0.0,3.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,200.8,-80.7925592835234,0.004589238100379589,2.5839654026693637e-05,0.00253683405708216,0.00018868249549086613,0.0,0.0,0.0008895612090782379,-0.3076171875,-0.09765625,-0.4043838801685524,0.0020782436973241225,0.00018868249549086613,-0.4052734375
8,16384,-0.00013070571003481746,116.68471221923828,2.769592825571696,4.98334227261088e-05,0.0,0.2842354481418928,-4.601088523864746,9.257227897644043,0.7171223958333334,3.0000000000000024e-05,0.0009999999999999992,-0.4957819879055023,0.6091014742851257,5,30,False,0.00013463388313539326,190.7338645054095,35.62946426316921,4.373664892089437,1.4786519409972243,43.19008898299944,10,0.0,0.9,0.0,1.0,0.0,0.0,2.9,0.0,3.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,218.6,-81.06367989014252,0.0039838392003730405,1.8249759781055475e-05,0.0030326799137583293,0.0002568072451309966,1.4085298514210365e-06,0.0,-0.0002888067232333924,-0.2783203125,-0.09765625,-0.376265370190481,0.0009694090463957666,0.00025821577498241766,-0.3759765625
